ambient_namespaces_total,cluster_rps,avg_ztunnel_cpu_m,avg_ztunnel_memory_mi
0,0,4.5,2.0
50,100,29.1,11.0
100,200,59.4,21.9
150,300,89.3,28.0
200,400,107.3,36.3
250,500,127.5,49.5
300,600,146.0,55.4
350,700,193.1,69.0
400,800,201.7,79.2
450,900,254.6,78.7
500,1000,282.2,100.6
550,1100,282.8,98.9
600,1200,347.4,111.8
650,1300,316.4,115.0
700,1400,396.3,137.3
750,1500,421.1,150.6
800,1600,426.0,167.9
850,1700,438.2,164.6
900,1800,506.5,176.4
950,1900,537.7,184.6
1000,2000,549.1,173.9
